Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Max_C_Depth_m,Min_length_Tag_cm,Max_length_Tag_cm,Min_Days_Tracked,Max_Days_Tracked,Min_Hours_Recorded,Max_Hours_Recorded,Notes,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Conservation Measures,Marine protected areas and reserves,Multiple,3,Saltwater,10,25,140,383,1,333,Not Reported,100,,2m to 61m,Large (>120cm),Long Term (>170d),Long Term (>20hr)
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Other Drivers of Movement and Behavior,Demographics,Multiple,3,Saltwater,10,25,140,383,1,333,Not Reported,100,,2m to 61m,Large (>120cm),Long Term (>170d),Long Term (>20hr)
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Other Drivers of Movement and Behavior,Ontogenic,Multiple,3,Saltwater,10,25,140,383,1,333,Not Reported,100,,2m to 61m,Large (>120cm),Long Term (>170d),Long Term (>20hr)
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Other Drivers of Movement and Behavior,Seasonal Differences,Multiple,3,Saltwater,10,25,140,383,1,333,Not Reported,100,,2m to 61m,Large (>120cm),Long Term (>170d),Long Term (>20hr)
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,10,25,140,383,1,333,Not Reported,100,,2m to 61m,Large (>120cm),Long Term (>170d),Long Term (>20hr)
Acuna_Marrero_2017,Chondrichthyes,2,AC + SA + B,Acoustic_Satellite_Baited,Both_Baited,Acoustic_Satellite,Baited,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,10,25,140,383,1,333,Not Reported,100,,2m to 61m,Large (>120cm),Long Term (>170d),Long Term (>20hr)
Adachi_2021,Phocidae,9,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,NA,Not Reported,NA,"Complementary - from the paper: Together, these innovative tools propel the field of biology forward by switching the research paradigm from inferring where predators find prey by investigating where they go to directly measuring predator-prey interactions in the deep ocean. took weight of seals instead of length. metadata not clear what device it belonged to.",NA,NA,NA,NA
Adachi_2021,Phocidae,9,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Behavioural Ecology,Energetics,Multiple,3,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,NA,Not Reported,NA,"Complementary - study was unique in that they paired DD and animal-borne not to study the species themselves but to verify this as a technque that could be used to characterize fish community and habitat, comparing it to DOV. Since these ,ethods can access other dimenstions that hmans cannot. ",NA,NA,NA,NA
Adachi_2021,Phocidae,9,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Behavioural Ecology,Predator_prey interactions,Multiple,3,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,NA,Not Reported,NA,,NA,NA,NA,NA
Adachi_2022,Phocidae,4,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,200,1000,NA,Not Reported,66.2,87.8,1,4,,>61m,NA,Medium Term (3-170d),Medium Term (2-20hr)
