Manuscript,Definition
Manuscript,"Article identifier (e.g., First author last name_publication year)"
Taxa,Taxa category for species studied in article
Total_Field_Seasons,"Total field seasons reported in article (where only year was presented, 1 field season = 1 year)"
Device_Pairing_Abbreviation,Abbreviation of the tracking + imaging devices used in article
Intermediate_Device_Pairing,"Label of tracking and imaging devices used, grouping tracking into Acoustic, PIT, Radio, Data logger, or Satellite and imaging into Baited, Mobile, Stationary, or Animalborne"
Broad_Device_Pairings,"Broad categories of tracking and imaging devices used, grouping tracking into either requiring a receiver (PIT, Radio, Acoustic), No receiver (Data logger, satellite), or having deployed Both types of tracking devices, paired with imaging devices grouped into  into Baited, Mobile, Stationary, or Animalborne"
Tracking_Group,"Strictly the tracking group used, as labelled by intermediate device pairing"
Monitor_Group,"Strictly the imaging group that was used, as labelled by intermediate device pairing"
Discipline,"Ecological discipline that the article was studying, as identified in the objectives of the abstract or introduction. (i.e., Behavioural Ecology, Conservation Measures, Fisheries Management, Methodological, Other Drivers of Movement and Behavior, Reproductive Ecology, Resource-Use Management)"
Sub_discipline,"The ecological sub-discipline that the article was studying, as part of the larger discipline"
Single_or_Multiple_Pairing,"Identification of whether only 2 devices (single) were used, or >3 devices (multiple) were used"
Total_Devices,Number of devices used in pairing
Water_Type,"Water body the article deployed device pairing (i.e., saltwater, freshwater, brackish)"
Min_C_Depth_m,Min depth imaging device was deployed
Max_C_Depth_m,Maximum depth imaging device was deployed
Min_length_Tag_cm,Minimum length of individual tagged
Max_length_Tag_cm,Maximum length of individal tagged
Min_Days_Tracked,Minimum days species were tracked using tracking device
Max_Days_Tracked,Maximum days species were tracked using tracking device
Min_Hours_Recorded,Minimum hours imaging device was recording
Max_Hours_Recorded,Maximum hours imaging device was recording
Notes,Notes on articles extracted
Depth_groups,"Categories for the different depths where imaging devices were deployed, as identified through summary of Max_C_Depth_m"
Length_Groups,"Categories for the different lengths of individuals tagged using tracking devices, as identified through summary of Min_length_Tag_cm"
Tracking_Days,"Categories for the different days where species were tracked using tracking devices, as identified through summary of Max_Days_Tracked"
Recording_Hours,"Categories for the different hours that imaging devices were recording, as identified through summary of Max_Hours_Recorded"
